Taxon	Taxon Level	Trophic Mode	Guild	Confidence Ranking	Growth Morphology	Trait	Notes	Citation/Source
Dipyrenis	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dipyxis	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dirina	7	Symbiotroph	Lichenized	Highly Probable				"Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm; Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dirinaria	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Dirinastrum	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Discella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dischloridium	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Discina	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Discinella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Disciotis	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Disciseda	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Discocainia	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Discochora philoprina	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Discocistella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Discocurtisia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Discohainesia oenotherae	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Discorehmia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Discosia	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Discosia artocreas	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Discosphaerina	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Discosporium	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Discostroma corticola	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Discoxylaria	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Discula	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Discula platani	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Discula umbrinella	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Dispira	7	Pathotroph	Mycoparasite	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dissoconium	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dissophora	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Distocercospora	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Distolomyces	7	Pathotroph	Animal pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Distopyrenis	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Distothelia	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ditangium	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ditiola	7	Saprotroph		Probable		Brown rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ditopella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ditremis	7	Symbiotroph	Lichenized	Highly Probable			Syn. Anisomeridium	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Diversispora	7	Symbiotroph	Arbuscular mycorrhizal	Highly Probable				"Redecker D, Schussler A, Stockinger H, Sturmer SL, Morton JB, Walker C. 2013. Mycorrhiza 23: 515-531"
Diversisporaceae	6	Symbiotroph	Arbuscular mycorrhizal	Highly Probable				"Redecker D, Schussler A, Stockinger H, Sturmer SL, Morton JB, Walker C. 2013. Mycorrhiza 23: 515-531"
Diversisporales	5	Symbiotroph	Arbuscular mycorrhizal	Highly Probable				"Redecker D, Schussler A, Stockinger H, Sturmer SL, Morton JB, Walker C. 2013. Mycorrhiza 23: 515-531"
Dixomyces	7	Pathotroph	Animal pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Doassansia	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Doassansiella	7	Pathotroph	Plant pathogen	Probable	Facultative yeast			"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Doassansiopsis	7	Pathotroph	Plant pathogen	Probable	Facultative yeast			"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Doassinga	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dolichocarpus	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dolichousnea	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Donadinia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Donkioporia	7	Saprotroph	Wood saprotroph	Highly Probable		White rot		"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Doratomyces	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Doratomyces stemonitis	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Dothichiza	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dothidasteroma	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dothidasteromella	7	Pathotroph	Endophyte	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dothidea	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dothidea insculpta	8	Saprotroph	Saprotroph	Probable				"James TY, Kauff F, Schoch CL et al. (2006) Reconstructing the early evolution of Fungi using a six-gene phylogeny. Nature, 443, 818дус22."
Dothidea sambuci	8	Pathotroph	Plant pathogen	Probable				"James TY, Kauff F, Schoch CL et al. (2006) Reconstructing the early evolution of Fungi using a six-gene phylogeny. Nature, 443, 818дус22."
Dothidella	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dothidella ulmi	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Dothideovalsa	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dothidotthia	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dothiopeltis	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dothiora	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dothiorella	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dothiorella aromatica	8	Pathotroph	Plant pathogen|Endophyte	Possible			host: Anacardiaceae	De Melo Wanderley Costa IP et al (2012) Checklist of endophytic fungi from tropical regions. Mycotaxon 119; http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Dothiorella dominicana	8	Pathotroph	Plant pathogen|Endophyte	Possible			host: Anacardiaceae	De Melo Wanderley Costa IP et al (2012) Checklist of endophytic fungi from tropical regions. Mycotaxon 119; http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Dothiorella gregaria	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Dothiorella mangiferae	8	Pathotroph	Plant pathogen|Endophyte	Possible			host: Anacardiaceae	De Melo Wanderley Costa IP et al (2012) Checklist of endophytic fungi from tropical regions. Mycotaxon 119
Dothiorella ulmi	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Dothistroma	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dothivalsaria	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Drechslera	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Drechslera avenacea	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera avenae	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera campanulata	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera catenaria	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera dematioidea	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera dictyoides	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera ellisii	8	Pathotroph	Endophyte	Highly Probable			"host: Rutaceae, Fabaceae"	De Melo Wanderley Costa IP et al (2012) Checklist of endophytic fungi from tropical regions. Mycotaxon 119
Drechslera erythrospila	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera gigantea	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera glycines	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera graminea	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera halodes	8	Pathotroph	Plant pathogen|Endophyte	Possible			"host: Combretaceae, Loranthaceae"	De Melo Wanderley Costa IP et al (2012) Checklist of endophytic fungi from tropical regions. Mycotaxon 119; http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera musae-sapientum	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera musaesapientum	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera nobleae	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera phlei	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera poae	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera prolata	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera siccans	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera spicifera	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera teres	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera tritici-repentis	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera triticirepentis	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslera wirreganensis	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Drechslerella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Drepanoconis	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Drepanomyces	7	Pathotroph	Animal pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Drepanopeziza	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dreschlera hawaiiensis	8	Pathotroph	Plant pathogen|Endophyte	Possible			"host: Convolvulaceae, Loranthaceae, Rhizophoraceae"	De Melo Wanderley Costa IP et al (2012) Checklist of endophytic fungi from tropical regions. Mycotaxon 119
Dreschlera papendorfii	8	Pathotroph	Endophyte	Highly Probable			host: Fabaceae	De Melo Wanderley Costa IP et al (2012) Checklist of endophytic fungi from tropical regions. Mycotaxon 119
Dreschslera gigantea	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Dryadomyces	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dryodon	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dubitatio	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dubujiana	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ductifera	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Duddingtonia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dufourea	7	Symbiotroph	Lichenized	Highly Probable			Syn. Allocetraria	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Dumontinia	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Duplicaria	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Duplicariella	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Duportella	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Durandiella	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Durandiella pseudotsugae	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Durella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Durianella	7	Symbiotroph	Ectomycorrhizal	Highly Probable				"Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263"
Durietzia	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Durogaster	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Durotheca	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dwayaangam	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Dyplolabia	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Dysrhynchis	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Earliella	7	Saprotroph	Wood saprotroph	Highly Probable		White rot		"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Eballistra	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Echidnocymbium	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Echidnodella	7	Pathotroph	Endophyte	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Echidnodes	7	Pathotroph	Endophyte	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Echinoascotheca	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Echinobotryum	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Echinochaete	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Echinochlamydosporium	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Echinoderma	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Echinodiscus lesdainii	8	Pathotroph|Symbiotroph	Lichenicolous	Possible				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Echinodontium	7	Pathotroph	Plant pathogen|Wood saprotroph	Probable		White rot		"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo; Tedersoo et al. 28 November 2014, Science 346, 1256688"
Echinodontium tinctorium	8	Saprotroph	Saprotroph	Probable				"James TY, Kauff F, Schoch CL et al. (2006) Reconstructing the early evolution of Fungi using a six-gene phylogeny. Nature, 443, 818дус22."
Echinomyces	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Echinophallus	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Echinoplaca	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Echinoplaca strigulacea	8	Symbiotroph	Lichenized	Probable				"James TY, Kauff F, Schoch CL et al. (2006) Reconstructing the early evolution of Fungi using a six-gene phylogeny. Nature, 443, 818дус22."
Echinoporia	7	Saprotroph	Wood saprotroph	Highly Probable				"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Echinosphaeria	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Echinosporangium	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Echinothecium	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Echinothecium aerophilum	8	Pathotroph|Symbiotroph	Lichenicolous	Possible				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Echinothecium reticulatum	8	Pathotroph|Symbiotroph	Lichenicolous	Possible				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Echinula	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
ECM	0	Symbiotroph	Ectomycorrhizal	Highly Probable				Keyword
Ecteinomyces	7	Pathotroph	Animal pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ectendomeliola	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ectomycorrhiza	0	Symbiotroph	Ectomycorrhizal	Highly Probable				Keyword
Ectomycorrhizae	0	Symbiotroph	Ectomycorrhizal	Highly Probable				Keyword
Ectomycorrhizal	0	Symbiotroph	Ectomycorrhizal	Highly Probable				Keyword
Edenia	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Edrudia	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Edwardiella	7	Symbiotroph	Lichenized	Highly Probable				"Henssen A. 1986. The Lichenologist. 18, 51-56"
Edythea	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Edyuillia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Efibulobasidium	7	Symbiotroph	Ectomycorrhizal	Possible				"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263 (Not ECM)"
Eichleriella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Eidamia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Eiglera	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Ejectosporus	7	Symbiotroph	Animal gut	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Eladia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Elaphocephala	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Elaphocordyceps	7	Pathotroph	Mycoparasite	Highly Probable				List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Elaphomyces	7	Symbiotroph	Ectomycorrhizal	Highly Probable				"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Elateraecium	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Eleutherascus	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Elixia	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Elletevera	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Elliottinia	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ellisia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ellisomyces	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Elmerina	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
ElsinoЊ«н†_Њ«н†_Њ«н†_Њ«н†_Њ«н†__	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Elsinoe	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Elsinoe ampelina	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Elsinoe australis	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Elsinoe batatas	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Elsinoe brasiliensis	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Elsinoe fawcettii	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Elsinoe leucospila	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Elsinoe mangiferae	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Elsinoe phaseoli	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Elsinoe piri	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Elsinoe randii	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Elsinoe rosarum	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Elsinoe sacchari	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Elsinoe theae	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Elsinoe veneta	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Elytroderma	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Emarcea	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Embellisia	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Embellisia allii	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Emblemospora	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Emericella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Emericellopsis	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Emilmuelleria	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Emmia	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Emmonsia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Emodomelanelia	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Empusa	7	Pathotroph	Animal pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Enarthromyces	7	Pathotroph	Animal pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Encephalitozoon	7	Pathotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Encephalographa	7	Symbiotroph	Lichenized	Highly Probable				Massalongo A. 1854. Geneacaena lichenum noviter proposita ac descripta. 
Enchnoa	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Enchylium	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Encoelia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Encoeliopsis	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Endobasidium	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Endocarpon	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Endocarpon pallidulum	8	Symbiotroph	Lichenized	Probable				"James TY, Kauff F, Schoch CL et al. (2006) Reconstructing the early evolution of Fungi using a six-gene phylogeny. Nature, 443, 818дус22."
Endocena	7	Symbiotroph	Lichenized	Highly Probable				Cromb 1876. Botanical Journal of the Linnean Society 15: 226
Endochytrium	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Endoclathrus	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Endococcus apiciicola	8	Pathotroph|Symbiotroph	Lichenicolous	Possible				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Endococcus buelliae	8	Pathotroph|Symbiotroph	Lichenicolous	Possible				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Endococcus incrassatus	8	Pathotroph|Symbiotroph	Lichenicolous	Possible				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Endococcus macrosporus	8	Pathotroph|Symbiotroph	Lichenicolous	Possible				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
